shape_code,human_readable_id,description,roof,semitransparency,OOB,categorization,qualities
0xa000,PSX map 0 type 003E section0_dispatch_roots lane 0020 palette 1D offset 00085C40,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0054 using cohort-family-lane-donor:0:0054:section0_dispatch_roots:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa001,PSX map 0 type 003E section0_constructor_placements lane 0022 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0022. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa002,PSX map 0 type 003E section0_constructor_placements lane 0020 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa003,PSX map 0 type 003F section0_constructor_placements lane 0020 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0020. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa004,PSX map 0 type 003F section0_constructor_placements lane 0022 palette 00 offset 0008B48C,PSX type-to-art cohort probe for section0_constructor_placements lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:0:004c:section0_constructor_placements:0022. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa005,PSX map 0 type 0040 palette 00 offset 0008B48C,PSX type-to-art probe resolved through a donor art-template from type 004C using cross-map-generic-family-donor:0:004c. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa006,PSX map 0 type 0041 section0_dispatch_roots lane 0020 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_dispatch_roots lane 0020 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_dispatch_roots:0020. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa007,PSX map 0 type 0041 section0_dispatch_roots lane 0022 palette 1D offset 00074FF8,PSX type-to-art cohort probe for section0_dispatch_roots lane 0022 resolved through a donor art-template from type 004C using cohort-cc-signature-lane-donor:24:004c:section0_dispatch_roots:0022. The drawable bundle bytes are borrowed from map 24 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 1 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa008,PSX map 0 type 0041 section0_dispatch_roots lane 0030 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_dispatch_roots lane 0030 resolved through a donor art-template from type 0040 using cohort-cc-signature-family-donor:42:0040:section0_dispatch_roots:0020. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
0xa009,PSX map 0 type 0041 section0_constructor_placements lane 0020 palette 36 offset 0007916C,PSX type-to-art cohort probe for section0_constructor_placements lane 0020 resolved through a donor art-template from type 0040 using cohort-cc-signature-lane-donor:42:0040:section0_constructor_placements:0020. The drawable bundle bytes are borrowed from map 42 because this map exposes no local direct template payload for the same resolved type. The scene renderer uses the parsed DAT_800758cc state script to choose among 3 frame(s) for this type and now applies executable-backed authored palette overrides when the source record exposes one.,,,,terrain,
