shape_code,human_readable_id,description,roof,semitransparency,OOB,categorization,qualities
0x0001,,,,,,,
0x0002,,,,,,base,0
0x0003,ROOF_BLACK_0003,,true,,,base,0
0x0004,,,,,,terrain,0
0x0005,,,,,,base,0
0x0006,,,,,,base,0;18;44
0x0007,,,,,,base,0
0x0008,,,,,,base,0
0x0009,,,,,,terrain,0
0x000a,,,,,,terrain,0
0x000b,,,,,,base,0;5;15;24;25;26;27;28;31;59;61;62;63;66;67;68;69;70;71;72;73;79;80;86;88;89
0x000c,,,,,,terrain,0
0x000d,,,,,,terrain,0;4
0x000e,,,,,,terrain,0
0x000f,OOB_FLOOR_BLACK_000F,,,,true,base,0
0x0010,,,,,,egg,1;2;3;16;336;337;339;340;341;342;343;345;346;347;349;350;351;352;353;354;355;356;357;361;363;364;366;372;374;375;379;380;385;387;391;393;396;397;398;399;400;402;403;404;408;410;411;412;413;414;416;417;418;419;421;422;423;424;425;426;427;428;429;430;431;432;509;512;513;515;516;517
0x0011,,,,,,egg,0;1;2;5;8;10;13;24
0x0012,,,,,,terrain,0
0x0013,ROOF_BLACK_0013,,true,,,base,0
0x0014,,,,,,terrain,0
0x0015,,,,,,base,0
0x0016,,,,,,terrain,0
0x0017,,,,,,base,0
0x0019,,,,,,terrain,0
0x001a,,,,,,base,0
0x001b,,,,,,terrain,0
0x001d,,,,,,base,0
0x001f,,,,,,base,0
0x0020,,,,,,terrain,0
0x0021,,,,,,base,0
0x0022,,,,,,base,0
0x0024,,,,,,base,0
0x0025,,,,,,terrain,0
0x0026,,,,,,base,0
0x0028,,,,,,helper,0
0x0029,,,,,,terrain,0
0x002a,,,,,,terrain,0
0x002b,,,,,,terrain,0
0x002c,,,,,,base,0;10
0x002d,,,,,,terrain,0
0x002e,,,,,,roof,0
0x002f,,,,,,roof,0
0x0030,,,,,,terrain,81;263;264;273;3088;65302
0x0032,,,,,,base,0
0x0033,door_shape_0033,Auto-derived from DOOR self-shape comparison in USECODE,,,,roof,3;5;7;10;12;15;20;21;23;31;37;43;49
0x0034,,,,,,base,0;5;15;24;25;26;27;28;31;59;61;62;63;66;68;71;72;73;79;80;86;88;89
0x0035,,,,,,base,0
0x0036,,,,,,base,0
0x0037,,,,,,base,0
0x0038,,,,,,base,0
0x0039,,,,,,terrain,0
0x003a,,,,,,terrain,0
0x003b,,,,,,base,0
0x003c,,,,,,roof,0
0x003d,,,,,,roof,0
0x003e,,,,,,roof,0
0x003f,,,,,,roof,0
0x0040,,,,,,terrain,0
0x0041,,,,,,roof,0
0x0042,,,,,,terrain,0
0x0043,,,,,,terrain,0
0x0044,,,,,,terrain,0
0x0045,,,,,,terrain,0
0x0046,,,,,,base,0
0x0047,,,,,,terrain,0
0x0048,,,,,,terrain,0
0x0049,,,,,,base,0
0x004a,,,,,,base,0
0x004b,door_shape_004b,Auto-derived from DOOR self-shape comparison in USECODE,,,,roof,1;2;17;60
0x004c,,,,,,roof,0
0x004d,,,,,,terrain,0
0x004e,,,,,,roof,0
0x004f,,,,,,terrain,0;4
0x0050,,,,,,roof,0
0x0051,,,,,,roof,0
0x0052,,,,,,roof,0
0x0053,,,,,,roof,0
0x0054,,,,,,roof,0
0x0056,,,,,,roof,0
0x0057,,,,,,roof,0
0x0059,,,,,,base,0
0x005a,INVISIBLE_WALL_005A,Editor Object,,true,,editor,0
0x005b,,Editor Object,,,,editor,0
0x005c,INVISIBLE_WALL_005C,Editor Object,,true,,editor,0
0x005d,INVISIBLE_WALL_005D,Editor Object,,true,,editor,0
0x005e,,,,,,helper,0;4;20
0x005f,,,,,,,
0x0060,,,,,,base,0
0x0061,,,,,,base,4;9;29;95;347;348;349;350;822
0x0062,,,,,,terrain,0
0x0063,,,,,,base,0
0x0064,door_shape_0064,Auto-derived from DOOR self-shape comparison in USECODE,,,,base,0
0x0066,INVISIBLE_WALL_0066,Editor Object,,true,,editor,0
0x0067,INVISIBLE_WALL_0067,Editor Object,,true,,editor,0
