shape_code,human_readable_id,description,roof,semitransparency,OOB,categorization,qualities
0x0000,,,,,,base,0;2;202;244;1354;15191;16386;20784;24941;25948;29285
0x0001,,,,,,base,0
0x0002,,,,,,terrain,0;785;828
0x0003,OOB_FLOOR_BLACK_0003,,,,true,base,0;1285
0x0004,,,,,,terrain,0
0x0005,door_shape_0005,Auto-derived from DOOR self-shape comparison in USECODE,,,,base,3;5;6;9;10;14;16;17;20;26;33;39;64
0x0006,,,,,,terrain,0
0x0007,,,,,,terrain,0
0x0008,,,,,,terrain,0
0x0009,,,,,,terrain,0
0x000a,,,,,,terrain,0;1283
0x000b,,,,,,terrain,0
0x000c,,,,,,terrain,0
0x000d,,,,,,terrain,0;783;1340
0x000e,,,,,,terrain,0
0x000f,,,,,true,base,0
0x0010,,,,,,egg,2;4;5;6;9;12;13;19;38;51;68;69;70;71;73;75;76;148;171;270;798;1289;1290;1311;1365;1793;2459;2465;2514;2515;2518;2520;2523;2528;2558;2560;2568;2569;2575;2582;2585;2689;2799;2800;2801;2803;2804;2805;2806;2807;2808;2809;2810;2811;2812;2813;2814;2815;2816;2817;2818;2819;2839;2841;2843;2844;2845;2846;2863;2875;2876;2877;2878;2879;2880;2881;2882;2885;2886;2887;2888;2889;2891;2892;2893;2894;2895;2896;2897;2898;2901;2907;2909;2911;2912;2914;2915;2916;2917;2918;2919;2920;2921;2922;2923;2924;2925;2926;2927;2928;2929;2930;2931;2933;2934;2935;2938;2939;2940;2942;2944;2946;2947;2949;2950;2951;2952;2953;2954;2955;2956;2957;2958;2959;2961;2962;2963;2964;2965;2966;2967;2968;2970;2971;2972;2974;2975;2976;2977;2979;2983;2986;2987;2988;2989;2990
0x0011,,,,,,egg,0;1;2;13
0x0012,,,,,,terrain,0;828
0x0013,ROOF_BLACK_SMALL_0013,,true,,false,base,0
0x0014,,,,,,terrain,0
0x0015,,,,,,base,0
0x0016,,,,,,terrain,0
0x0017,,,,,,base,0
0x0018,,,,,,terrain,0
0x0019,,,,,,terrain,0
0x001a,,,,,,base,0
0x001b,,,,,,terrain,0;256;273;772;785;788;794;1280;1284;1289;1297;1343;1809
0x001c,,,,,,terrain,0;1283
0x001d,,,,,,base,0
0x001e,,,,,,base,0
0x001f,,,,,,base,0
0x0020,,,,,,terrain,0
0x0021,,,,,,base,0
0x0022,,,,,,base,0
0x0023,,,,,,base,0
0x0024,,,,,,base,0
0x0025,,,,,,terrain,0
0x0026,,,,,,base,0
0x0027,,,,,,terrain,0
0x0028,,,,,,base,0
0x0029,,,,,,terrain,0;784
0x002a,,,,,,terrain,0
0x002b,,,,,,terrain,0
0x002c,,,,,,base,0
0x002d,,,,,,terrain,0
0x002e,,,,,,roof,0
0x002f,,,,,,roof,0
0x0030,,,,,,terrain,0;20;21;258;263;276;280;284;1558
0x0031,,,,,,base,0;274;775;784;785;798;1287;1296;1298
0x0032,,,,,,base,0
0x0033,,,,,,roof,1;4;6;7;10;12;13;14;22;23;30;35;36;238
0x0034,,,,,,terrain,0
0x0035,,,,,,base,0;28;782;786;788;1300
0x0036,,,,,,base,0;1305;2578
0x0037,,,,,,base,0
0x0038,,,,,,base,0
0x0039,,,,,,terrain,0
0x003a,,,,,,terrain,0
0x003b,,,,,,base,0
0x003c,,,,,,roof,0;769;771;786;828;831;940;1290;1452;2108;2364
0x003d,,,,,,roof,0;771;788
0x003e,,,,,,roof,0;1337
0x003f,,,,,,roof,0
0x0040,,,,,,terrain,0
0x0041,,,,,,roof,0
0x0042,,,,,,terrain,0
0x0043,,,,,,terrain,0
0x0044,,,,,,terrain,0
0x0045,,,,,,terrain,0;547;1827
0x0046,door_shape_0046,Auto-derived from DOOR self-shape comparison in USECODE,,,,base,5;6;7;9;10;11;12;13;14;18;50;51;5657
0x0047,,,,,,terrain,0;1295
0x0048,,,,,,terrain,0
0x0049,,,,,,base,0;1301
0x004a,,,,,,base,0
0x004b,,,,,,base,0
0x004c,,,,,,roof,0;1301
0x004d,,,,,,terrain,0
0x004e,,,,,,roof,0;1814
0x004f,,,,,,terrain,0;785
0x0050,,,,,,roof,0
0x0051,,,,,,roof,0;269
0x0052,,,,,,roof,0;769
0x0053,,,,,,roof,0;281
0x0054,,,,,,roof,0
0x0055,,,,,,base,0
0x0056,,,,,,roof,0;769
0x0057,,,,,,roof,0;281
0x0058,,,,,,base,0
0x0059,,,,,,base,0
0x005a,Invisible_Wall_005A,Editor Object,,true,,editor,0
0x005b,INVISIBLE_WALL_005B,Editor Object,,true,,editor,0
0x005c,EDITOR_WALL_005C,Editor Object,,true,,editor,0
0x005d,Invisible_Wall_005D,,,true,,editor,0
0x005e,,,,,,helper,0;1;523;834
0x005f,,,,,,terrain,0
0x0060,,,,,,base,0
0x0061,,,,,,base,9;265;269;775;784;802
