shape_code,human_readable_id,description,roof,semitransparency,OOB,surface_type,categorization,qualities
0x0001,,,,,,wall,,
0x0002,,,,,,wall,base,0
0x0003,ROOF_BLACK_0003,,true,,,wall,base,0
0x0004,,,,,,wall,terrain,0
0x0005,,,,,,wall,base,0
0x0006,,,,,,wall,base,0;18;44
0x0007,,,,,,wall,base,0
0x0008,,,,,,wall,base,0
0x0009,,,,,,wall,terrain,0
0x000a,,,,,,wall,terrain,0
0x000b,,,,,,wall,base,0;5;15;24;25;26;27;28;31;59;61;62;63;66;67;68;69;70;71;72;73;79;80;86;88;89
0x000c,,,,,,wall,terrain,0
0x000d,,,,,,wall,terrain,0;4
0x000e,,,,,,wall,terrain,0
0x000f,OOB_FLOOR_BLACK_000F,,,,true,wall,base,0
0x0010,,,,,,wall,egg,1;2;3;16;336;337;339;340;341;342;343;345;346;347;349;350;351;352;353;354;355;356;357;361;363;364;366;372;374;375;379;380;385;387;391;393;396;397;398;399;400;402;403;404;408;410;411;412;413;414;416;417;418;419;421;422;423;424;425;426;427;428;429;430;431;432;509;512;513;515;516;517
0x0011,,,,,,wall,egg,0;1;2;5;8;10;13;24
0x0012,,,,,,wall,terrain,0
0x0013,ROOF_BLACK_0013,,true,,,wall,base,0
0x0014,,,,,,wall,terrain,0
0x0015,,,,,,wall,base,0
0x0016,,,,,,wall,terrain,0
0x0017,,,,,,wall,base,0
0x0019,,,,,,wall,terrain,0
0x001a,,,,,,wall,base,0
0x001b,,,,,,wall,terrain,0
0x001d,,,,,,wall,base,0
0x001f,,,,,,wall,base,0
0x0020,,,,,,wall,terrain,0
0x0021,,,,,,wall,base,0
0x0022,,,,,,wall,base,0
0x0024,,,,,,wall,base,0
0x0025,,,,,,wall,terrain,0
0x0026,,,,,,wall,base,0
0x0028,,,,,,wall,helper,0
0x0029,,,,,,wall,terrain,0
0x002a,,,,,,wall,terrain,0
0x002b,,,,,,wall,terrain,0
0x002c,,,,,,wall,base,0;10
0x002d,,,,,,wall,terrain,0
0x002e,,,,,,wall,roof,0
0x002f,,,,,,wall,roof,0
0x0030,,,,,,wall,terrain,81;263;264;273;3088;65302
0x0032,,,,,,wall,base,0
0x0033,door_shape_0033,Auto-derived from DOOR self-shape comparison in USECODE,,,,wall,roof,3;5;7;10;12;15;20;21;23;31;37;43;49
0x0034,,,,,,wall,base,0;5;15;24;25;26;27;28;31;59;61;62;63;66;68;71;72;73;79;80;86;88;89
0x0035,,,,,,wall,base,0
0x0036,,,,,,wall,base,0
0x0037,,,,,,wall,base,0
0x0038,,,,,,wall,base,0
0x0039,,,,,,wall,terrain,0
0x003a,,,,,,wall,terrain,0
0x003b,,,,,,wall,base,0
0x003c,,,,,,wall,roof,0
0x003d,,,,,,wall,roof,0
0x003e,,,,,,wall,roof,0
0x003f,,,,,,wall,roof,0
0x0040,,,,,,wall,terrain,0
0x0041,,,,,,wall,roof,0
0x0042,,,,,,wall,terrain,0
0x0043,,,,,,wall,terrain,0
0x0044,,,,,,wall,terrain,0
0x0045,,,,,,wall,terrain,0
0x0046,,,,,,wall,base,0
0x0047,,,,,,wall,terrain,0
0x0048,,,,,,wall,terrain,0
0x0049,,,,,,wall,base,0
0x004a,,,,,,wall,base,0
0x004b,door_shape_004b,Auto-derived from DOOR self-shape comparison in USECODE,,,,wall,roof,1;2;17;60
0x004c,,,,,,wall,roof,0
0x004d,,,,,,wall,terrain,0
0x004e,,,,,,wall,roof,0
0x004f,,,,,,wall,terrain,0;4
0x0050,,,,,,wall,roof,0
0x0051,,,,,,wall,roof,0
0x0052,,,,,,wall,roof,0
0x0053,,,,,,wall,roof,0
0x0054,,,,,,wall,roof,0
0x0056,,,,,,wall,roof,0
0x0057,,,,,,wall,roof,0
0x0059,,,,,,wall,base,0
0x005a,INVISIBLE_WALL_005A,Editor Object,,true,,wall,editor,0
0x005b,,Editor Object,,,,wall,editor,0
0x005c,INVISIBLE_WALL_005C,Editor Object,,true,,wall,editor,0
0x005d,INVISIBLE_WALL_005D,Editor Object,,true,,wall,editor,0
0x005e,,,,,,wall,helper,0;4;20
0x005f,,,,,,wall,,
0x0060,,,,,,wall,base,0
0x0061,,,,,,wall,base,4;9;29;95;347;348;349;350;822
0x0062,,,,,,wall,terrain,0
0x0063,,,,,,wall,base,0
0x0064,door_shape_0064,Auto-derived from DOOR self-shape comparison in USECODE,,,,wall,base,0
0x0066,INVISIBLE_WALL_0066,Editor Object,,true,,wall,editor,0
0x0067,INVISIBLE_WALL_0067,Editor Object,,true,,wall,editor,0
0x0068,INVISIBLE_WALL_0068,Editor Object,,true,,wall,editor,0
0x0069,,Editor Object,,,,wall,editor,0
0x006b,,,,,,wall,terrain,1
0x006c,door_shape_006c,Auto-derived from DOOR self-shape comparison in USECODE,,,,wall,roof,1;2;9;10;11;55;75
0x006d,,,,,,wall,terrain,0
0x006e,,,,,,wall,terrain,0
0x006f,,,,,,wall,base,0
0x0070,yelrail_shape_0070,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x0071,,,,,,wall,terrain,0
0x0072,,,,,,wall,terrain,0
0x0073,,,,,,wall,terrain,0
0x0074,,,,,,wall,terrain,0
0x0075,,,,,,wall,terrain,0
0x0076,,,,,,wall,terrain,0
0x0077,,,,,,wall,terrain,0
0x0078,,,,,,wall,terrain,0
0x007a,,,,,,wall,terrain,0
0x007b,,,,,,wall,base,0
0x007c,,,,,,wall,terrain,0
0x007d,,,,,,wall,base,0
0x007e,,,,,,wall,base,0
0x007f,,,,,,wall,terrain,0
0x0080,BOX_EW,Usecode class 128 BOX_EW. Frame 0 acts like a local switch lane that dispatches TRIGGER lane 1 while map-array is clear; nonzero frames dispatch lane 0.,,,,wall,base,259;770
0x0081,,,,,,wall,base,34;785;794;796
0x0082,,,,,,wall,base,0
0x0084,,,,,,wall,terrain,0
0x0085,,,,,,wall,,
0x0086,,,,,,wall,base,0
0x0087,,,,,,wall,base,0
0x0088,yelrail_shape_0088,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x008a,yelrail_shape_008a,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x008b,yelrail_shape_008b,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x008c,yelrail_shape_008c,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x008d,yelrail_shape_008d,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x008e,,,,,,wall,terrain,0
0x008f,,,,,,wall,terrain,0
0x0091,yelrail_shape_0091,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x0092,yelrail_shape_0092,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x0093,yelrail_shape_0093,Auto-derived from YELRAIL self-shape comparison in USECODE,,,,wall,base,0
0x0094,,,,,,wall,terrain,0
0x0095,,,,,,wall,base,0
0x0096,,,,,,wall,terrain,0
0x0097,,,,,,wall,base,0
0x0098,,,,,,wall,base,5;8;17;20;22;24;27;46;57;77;88
0x009a,,,,,,wall,terrain,0
0x009b,,,,,,wall,base,0
0x009d,,,,,,wall,terrain,0
0x00a0,,,,,,wall,terrain,0
