class_name	entry_index	body_count	debug_line_count	mapped_line_count	collision_count	line_table_mode	line_table_count	output_path
ALARMBOX	1145	3	0	0	0	synthetic_floor	2991	ALARMBOX.unk
ALARMHAT	1379	1	0	0	0	synthetic_floor	2991	ALARMHAT.unk
ALARM_EW	35	1	0	0	0	synthetic_floor	2991	ALARM_EW.unk
ALARM_NS	75	1	0	0	0	synthetic_floor	2991	ALARM_NS.unk
ALRMTRIG	1411	1	0	0	0	synthetic_floor	2991	ALRMTRIG.unk
ANDROID	901	1	0	0	0	synthetic_floor	2991	ANDROID.unk
ART	1079	1	0	0	0	synthetic_floor	2991	ART.unk
AVATRON	782	1	0	0	0	synthetic_floor	2991	AVATRON.unk
BARREL	2562	1	0	0	0	synthetic_floor	2991	BARREL.unk
BARRELEW	341	1	0	0	0	synthetic_floor	2991	BARRELEW.unk
BARRELNS	340	1	0	0	0	synthetic_floor	2991	BARRELNS.unk
BARRELNW	342	1	0	0	0	synthetic_floor	2991	BARRELNW.unk
BARRELS	339	1	0	0	0	synthetic_floor	2991	BARRELS.unk
BARRELSE	343	1	0	0	0	synthetic_floor	2991	BARRELSE.unk
BARRELUP	172	1	0	0	0	synthetic_floor	2991	BARRELUP.unk
BASEGUN	1226	6	0	0	0	synthetic_floor	2991	BASEGUN.unk
BBETTY	2563	3	0	0	0	synthetic_floor	2991	BBETTY.unk
BBOX	1319	1	0	0	0	synthetic_floor	2991	BBOX.unk
BETTY	543	1	0	0	0	synthetic_floor	2991	BETTY.unk
BETTYUP	715	3	0	0	0	synthetic_floor	2991	BETTYUP.unk
BIGCAN	789	1	0	0	0	synthetic_floor	2991	BIGCAN.unk
BIGCOMEW	602	2	0	0	0	synthetic_floor	2991	BIGCOMEW.unk
BIGCOMNS	601	2	0	0	0	synthetic_floor	2991	BIGCOMNS.unk
BIGSWITC	1573	1	0	0	0	synthetic_floor	2991	BIGSWITC.unk
BLACK16	17	1	0	0	0	synthetic_floor	2991	BLACK16.unk
BLACK8	5	1	0	0	0	synthetic_floor	2991	BLACK8.unk
BLOOD	1210	1	0	0	0	synthetic_floor	2991	BLOOD.unk
BMPC	398	1	0	0	0	synthetic_floor	2991	BMPC.unk
