class_name	entry_index	body_count	debug_line_count	mapped_line_count	collision_count	line_table_mode	line_table_count	output_path
ALARMBOX	1145	3	0	0	0	appendix_only	0	ALARMBOX.unk
ALARMHAT	1379	1	0	0	0	appendix_only	0	ALARMHAT.unk
ALARM_EW	35	1	0	0	0	appendix_only	0	ALARM_EW.unk
ALARM_NS	75	1	0	0	0	appendix_only	0	ALARM_NS.unk
ALRMTRIG	1411	1	0	0	0	appendix_only	0	ALRMTRIG.unk
ANDROID	901	1	0	0	0	appendix_only	0	ANDROID.unk
AND_BOOT	790	3	0	0	0	appendix_only	0	AND_BOOT.unk
AVATAR	2051	4	0	0	0	appendix_only	0	AVATAR.unk
BARDUDES	900	1	0	0	0	appendix_only	0	BARDUDES.unk
BARREL	2562	1	0	0	0	appendix_only	0	BARREL.unk
BARRELEW	341	1	0	0	0	appendix_only	0	BARRELEW.unk
BARRELNS	340	1	0	0	0	appendix_only	0	BARRELNS.unk
BARRELNW	342	1	0	0	0	appendix_only	0	BARRELNW.unk
BARRELS	339	1	0	0	0	appendix_only	0	BARRELS.unk
BARRELSE	343	1	0	0	0	appendix_only	0	BARRELSE.unk
BARRELUP	172	1	0	0	0	appendix_only	0	BARRELUP.unk
BART	503	2	0	0	0	appendix_only	0	BART.unk
BASEGUN	1226	6	0	0	0	appendix_only	0	BASEGUN.unk
BBETTY	2563	3	0	0	0	appendix_only	0	BBETTY.unk
BBTRIP	2317	1	0	0	0	appendix_only	0	BBTRIP.unk
BETTY	543	1	0	0	0	appendix_only	0	BETTY.unk
BETTYUP	715	3	0	0	0	appendix_only	0	BETTYUP.unk
BIGCAN	789	1	0	0	0	appendix_only	0	BIGCAN.unk
BIGCOMEW	602	2	0	0	0	appendix_only	0	BIGCOMEW.unk
BIGCOMNS	601	2	0	0	0	appendix_only	0	BIGCOMNS.unk
BLASER	2564	2	0	0	0	appendix_only	0	BLASER.unk
BLASER1	1093	8	0	0	0	appendix_only	0	BLASER1.unk
BLASEREW	710	6	0	0	0	appendix_only	0	BLASEREW.unk
BLASERNS	709	6	0	0	0	appendix_only	0	BLASERNS.unk
BLASTPAC	925	2	0	0	0	appendix_only	0	BLASTPAC.unk
BLOOD	1210	1	0	0	0	appendix_only	0	BLOOD.unk
BOUNCBOX	1265	2	0	0	0	appendix_only	0	BOUNCBOX.unk
BOX_EW	130	1	0	0	0	appendix_only	0	BOX_EW.unk
BOX_NS	131	1	0	0	0	appendix_only	0	BOX_NS.unk
BRIDGE	2565	7	0	0	0	appendix_only	0	BRIDGE.unk
BROKENCW	211	1	0	0	0	appendix_only	0	BROKENCW.unk
BRO_BOOT	792	3	0	0	0	appendix_only	0	BRO_BOOT.unk
BUBBLE	472	2	0	0	0	appendix_only	0	BUBBLE.unk
CAMERA	2311	2	0	0	0	appendix_only	0	CAMERA.unk
CAMERACO	440	3	0	0	0	appendix_only	0	CAMERACO.unk
CAMERAEW	473	3	0	0	0	appendix_only	0	CAMERAEW.unk
CAMERANS	442	3	0	0	0	appendix_only	0	CAMERANS.unk
CAM_EW	443	5	0	0	0	appendix_only	0	CAM_EW.unk
CAM_NS	444	5	0	0	0	appendix_only	0	CAM_NS.unk
CARD_EW	800	1	0	0	0	appendix_only	0	CARD_EW.unk
CARD_NS	799	1	0	0	0	appendix_only	0	CARD_NS.unk
CATWALK1	152	1	0	0	0	appendix_only	0	CATWALK1.unk
CATWALK2	308	1	0	0	0	appendix_only	0	CATWALK2.unk
CHANGER	2310	1	0	0	0	appendix_only	0	CHANGER.unk
CHEDITRO	903	1	0	0	0	appendix_only	0	CHEDITRO.unk
CHEMSUIT	760	1	0	0	0	appendix_only	0	CHEMSUIT.unk
CHEST_EW	1362	2	0	0	0	appendix_only	0	CHEST_EW.unk
CHEST_NS	1361	2	0	0	0	appendix_only	0	CHEST_NS.unk
CHEST_OE	1357	2	0	0	0	appendix_only	0	CHEST_OE.unk
CHEST_ON	1356	2	0	0	0	appendix_only	0	CHEST_ON.unk
CONGRESS	737	1	0	0	0	appendix_only	0	CONGRESS.unk
CONVEYOR	2566	2	0	0	0	appendix_only	0	CONVEYOR.unk
CONVEY_E	310	2	0	0	0	appendix_only	0	CONVEY_E.unk
CONVEY_N	109	2	0	0	0	appendix_only	0	CONVEY_N.unk
CONVFLR	558	2	0	0	0	appendix_only	0	CONVFLR.unk
CONV_EL	661	2	0	0	0	appendix_only	0	CONV_EL.unk
CONV_NL	660	2	0	0	0	appendix_only	0	CONV_NL.unk
COPY_EW	1077	1	0	0	0	appendix_only	0	COPY_EW.unk
