class_name	entry_index	body_count	debug_line_count	mapped_line_count	collision_count	line_table_mode	line_table_count	output_path
ALARMBOX	1145	3	31	31	0	recovered	147	ALARMBOX.unk
ALARMHAT	1379	1	18	18	0	recovered	54	ALARMHAT.unk
ALARM_EW	35	1	4	4	0	recovered	26	ALARM_EW.unk
ALARM_NS	75	1	4	4	0	recovered	24	ALARM_NS.unk
ALRMTRIG	1411	1	11	11	0	recovered	42	ALRMTRIG.unk
ANDROID	901	1	2	2	0	recovered	15	ANDROID.unk
AND_BOOT	790	3	44	44	0	recovered	137	AND_BOOT.unk
ART	1079	1	8	8	0	recovered	27	ART.unk
AVATAR	2051	4	22	22	0	recovered	735	AVATAR.unk
BARDUDES	900	1	21	21	0	recovered	72	BARDUDES.unk
BARREL	2562	1	50	50	0	recovered	152	BARREL.unk
BARRELEW	341	1	2	2	0	recovered	16	BARRELEW.unk
BARRELNS	340	1	2	2	0	recovered	16	BARRELNS.unk
BARRELNW	342	1	2	2	0	recovered	16	BARRELNW.unk
BARRELS	339	1	2	2	0	recovered	16	BARRELS.unk
BARRELSE	343	1	2	2	0	recovered	16	BARRELSE.unk
BARRELUP	172	1	2	2	0	recovered	16	BARRELUP.unk
BART	503	2	34	34	0	recovered	91	BART.unk
BASEGUN	1226	6	36	36	0	recovered	87	BASEGUN.unk
BBETTY	2563	3	67	67	0	recovered	144	BBETTY.unk
BBOX	1319	1	13	13	0	recovered	41	BBOX.unk
BBTRIP	2317	1	7	7	0	recovered	26	BBTRIP.unk
BETTY	543	1	9	9	0	recovered	31	BETTY.unk
BETTYUP	715	3	19	19	0	recovered	64	BETTYUP.unk
BIGCAN	789	1	15	15	0	recovered	40	BIGCAN.unk
BIGCOMEW	602	2	10	10	0	recovered	31	BIGCOMEW.unk
BIGCOMNS	601	2	10	10	0	recovered	31	BIGCOMNS.unk
BLACK16	17	1	23	23	0	recovered	64	BLACK16.unk
BLACK8	5	1	23	23	0	recovered	65	BLACK8.unk
BLASER	2564	2	86	86	0	recovered	187	BLASER.unk
BLASER1	1093	8	104	104	0	recovered	261	BLASER1.unk
BLASEREW	710	6	20	20	0	recovered	64	BLASEREW.unk
BLASERNS	709	6	20	20	0	recovered	62	BLASERNS.unk
BLASTPAC	925	2	161	161	0	recovered	386	BLASTPAC.unk
BLOOD	1210	1	7	7	0	recovered	26	BLOOD.unk
BOUNCBOX	1265	2	59	59	0	recovered	131	BOUNCBOX.unk
BOX_EW	130	1	19	19	0	recovered	65	BOX_EW.unk
BOX_NS	131	1	19	19	0	recovered	63	BOX_NS.unk
BRIDGE	2565	7	304	304	0	recovered	657	BRIDGE.unk
BROKENCW	211	1	11	11	0	recovered	31	BROKENCW.unk
BRO_BOOT	792	3	46	46	0	recovered	149	BRO_BOOT.unk
BUBBLE	472	2	19	19	0	recovered	63	BUBBLE.unk
CAMERA	2311	2	15	15	0	recovered	64	CAMERA.unk
CAMERACO	440	3	69	69	0	recovered	161	CAMERACO.unk
CAMERAEW	473	3	69	69	0	recovered	161	CAMERAEW.unk
CAMERANS	442	3	69	69	0	recovered	161	CAMERANS.unk
CAM_EW	443	5	21	21	0	recovered	61	CAM_EW.unk
CAM_NS	444	5	21	21	0	recovered	62	CAM_NS.unk
CARD_EW	800	1	2	2	0	recovered	13	CARD_EW.unk
CARD_NS	799	1	2	2	0	recovered	13	CARD_NS.unk
CATWALK1	152	1	7	7	0	recovered	22	CATWALK1.unk
CATWALK2	308	1	13	13	0	recovered	31	CATWALK2.unk
CHANGER	2310	1	12	12	0	recovered	37	CHANGER.unk
CHEDITRO	903	1	3	3	0	recovered	21	CHEDITRO.unk
CHEMSUIT	760	1	2	2	0	recovered	16	CHEMSUIT.unk
CHEST_EW	1362	2	56	56	0	recovered	184	CHEST_EW.unk
CHEST_NS	1361	2	59	59	0	recovered	182	CHEST_NS.unk
CHEST_OE	1357	2	15	15	0	recovered	51	CHEST_OE.unk
CHEST_ON	1356	2	15	15	0	recovered	50	CHEST_ON.unk
CONGRESS	737	1	2	2	0	recovered	14	CONGRESS.unk
CONVEYOR	2566	2	58	58	0	recovered	125	CONVEYOR.unk
CONVEY_E	310	2	33	33	0	recovered	63	CONVEY_E.unk
CONVEY_N	109	2	33	33	0	recovered	63	CONVEY_N.unk
CONVFLR	558	2	33	33	0	recovered	63	CONVFLR.unk
CONV_EL	661	2	33	33	0	recovered	63	CONV_EL.unk
