shape_code,human_readable_id,description
0x0001,,
0x000B,,
0x0011,,
0x0028,,
0x0030,,
0x0033,door_shape_0033,Auto-derived from DOOR self-shape comparison in USECODE
0x0034,,
0x004B,door_shape_004b,Auto-derived from DOOR self-shape comparison in USECODE
0x005F,,
0x0064,door_shape_0064,Auto-derived from DOOR self-shape comparison in USECODE
0x006C,door_shape_006c,Auto-derived from DOOR self-shape comparison in USECODE
0x0070,yelrail_shape_0070,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0085,,
0x0088,yelrail_shape_0088,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008A,yelrail_shape_008a,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008B,yelrail_shape_008b,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008C,yelrail_shape_008c,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008D,yelrail_shape_008d,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0091,yelrail_shape_0091,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0092,yelrail_shape_0092,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0093,yelrail_shape_0093,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0095,,
0x00AA,barrel_shape_00aa,Auto-derived from BARREL self-shape comparison in USECODE
0x00AD,,
0x00C0,,
0x00D1,,
0x00D4,,
0x00D9,,
0x00DB,,
0x0108,,
0x0111,,
0x0113,,
0x0127,,
0x0135,,
0x0151,barrel_shape_0151,Auto-derived from BARREL self-shape comparison in USECODE
0x0152,barrel_shape_0152,Auto-derived from BARREL self-shape comparison in USECODE
0x0153,barrel_shape_0153,Auto-derived from BARREL self-shape comparison in USECODE
0x0154,barrel_shape_0154,Auto-derived from BARREL self-shape comparison in USECODE
0x0155,barrel_shape_0155,Auto-derived from BARREL self-shape comparison in USECODE
0x0156,,
0x018D,,
0x018E,,
0x0190,,
0x0193,,
0x01AB,,
0x01B4,booty_shape_01b4,Auto-derived from BOOTY self-shape comparison in USECODE
0x01B9,,
0x01BA,,
0x01C1,,
0x01C8,,
0x01CD,,
0x01D9,,
0x01DA,,
0x01DB,,
0x01E4,,
0x01EE,,
0x01F5,,
0x022D,,
0x0251,,
0x025F,,
0x0260,,
0x0277,,
0x0278,,
0x0287,,
0x0289,,
0x028D,,
0x02C9,bbetty_shape_02c9,Auto-derived from BBETTY self-shape comparison in USECODE
0x02CB,,
0x02D8,door_shape_02d8,Auto-derived from DOOR self-shape comparison in USECODE
0x02DC,,
0x02DE,,
0x02DF,booty_shape_02df,Auto-derived from BOOTY self-shape comparison in USECODE
0x02EF,,
0x02F0,,
0x02F5,,
0x02F6,,
0x02F7,,
0x0301,,
0x0308,booty_shape_0308,Auto-derived from BOOTY self-shape comparison in USECODE
0x030C,,
0x0319,,
0x0337,,
0x0338,,
0x033A,,
0x0344,,
0x034B,,
0x0361,,
0x0363,door_shape_0363,Auto-derived from DOOR self-shape comparison in USECODE
0x0371,booty_shape_0371,Auto-derived from BOOTY self-shape comparison in USECODE
0x0373,,
0x037A,door_shape_037a,Auto-derived from DOOR self-shape comparison in USECODE
0x0383,,
0x0384,,
0x0385,,
0x0399,,
0x039A,,
0x039C,,
0x03A1,,
0x03A9,,
0x03AC,,
0x03AD,,
0x03B9,door_shape_03b9,Auto-derived from DOOR self-shape comparison in USECODE
0x03BA,door_shape_03ba,Auto-derived from DOOR self-shape comparison in USECODE
0x0401,,
0x0403,,
0x041C,,
0x0438,,
0x0439,,
0x043A,,
0x043B,,
0x043D,,
0x0443,,
0x044A,,
0x044D,,
0x044E,,
0x0452,,
0x0456,,
0x0457,,
0x0459,,
0x045A,,
0x045D,,
0x046A,,
0x046C,,
0x0476,,
0x04B1,,
0x04B8,,
0x04C8,,
0x04C9,,
0x04D0,,
0x04D1,booty_shape_04d1,Auto-derived from BOOTY self-shape comparison in USECODE
0x04D9,,
0x04E0,,
0x04E6,,
0x04E7,,
0x04F8,,
0x04F9,,
0x04FA,,
0x04FD,,
0x04FE,,
0x0500,,
0x050A,,
0x0510,,
0x0511,,
0x0518,,
0x051A,,
0x0524,,
0x0528,booty_shape_0528,Auto-derived from BOOTY self-shape comparison in USECODE
0x053A,,
0x053B,door_shape_053b,Auto-derived from DOOR self-shape comparison in USECODE
0x054E,,
0x055F,,
0x0561,,
0x056F,door_shape_056f,Auto-derived from DOOR self-shape comparison in USECODE
0x0571,door_shape_0571,Auto-derived from DOOR self-shape comparison in USECODE
0x0573,door_shape_0573,Auto-derived from DOOR self-shape comparison in USECODE
0x0574,door_shape_0574,Auto-derived from DOOR self-shape comparison in USECODE
0x0576,,
0x057A,booty_shape_057a,Auto-derived from BOOTY self-shape comparison in USECODE
0x058F,,
0x0595,,
0x0596,,
0x0597,,
0x05A4,,
0x05A5,,
0x05B1,,
0x05BA,,
0x05D5,booty_shape_05d5,Auto-derived from BOOTY self-shape comparison in USECODE
0x05D6,,
0x05D8,,
0x05D9,,
0x05DA,,
0x05DD,,
0x05DE,,
0x05DF,,
0x05E0,,
0x05E2,,
0x05E6,,
0x05EF,,
0x0606,booty_shape_0606,Auto-derived from BOOTY self-shape comparison in USECODE
0x0616,,
0x062D,,
0x062E,booty_shape_062e,Auto-derived from BOOTY self-shape comparison in USECODE
0x0631,booty_shape_0631,Auto-derived from BOOTY self-shape comparison in USECODE
0x0656,,
