shape_code,human_readable_id,description
0x0001,,
0x0003,,
0x0004,,
0x0005,door_shape_0005,Auto-derived from DOOR self-shape comparison in USECODE
0x0007,,
0x0009,,
0x000A,,
0x000B,,
0x000D,,
0x000F,,
0x0011,,
0x0013,,
0x0015,,
0x0017,,
0x0019,,
0x001B,,
0x001D,,
0x001E,,
0x0028,,
0x0029,,
0x0030,,
0x0033,,
0x0046,door_shape_0046,Auto-derived from DOOR self-shape comparison in USECODE
0x007B,door_shape_007b,Auto-derived from DOOR self-shape comparison in USECODE
0x0095,door_shape_0095,Auto-derived from DOOR self-shape comparison in USECODE
0x00A1,,
0x00A5,,
0x00A9,door_shape_00a9,Auto-derived from DOOR self-shape comparison in USECODE
0x00AD,,
0x00C2,,
0x0100,,
0x0135,,
0x0136,,
0x0137,,
0x0138,,
0x0139,,
0x0158,,
0x0159,,
0x015A,,
0x015B,,
0x0167,REACTOR,Level 1 Reactor
0x0168,REACTOR_CELL,Level 1
0x0187,WALL_EDGE,Not sure
0x0189,ELEVATOR_DOOR_SEGMENT,
0x018D,ELEVATOR_DOOR_LEFT,
0x018E,TELEPAD_RED,
0x0193,ELEVATOR_DOOR_RIGHT,
0x01A2,RADAR_DISH,
0x01A6,COMM_CONSOLE,
0x01BC,LIGHT_TUBE,A tube with a light inside
0x01BF,ELECTRODE,The zappy things that flash the whole screen when destroyed
0x01C1,TUBE_PLATFORM,A platform for square tubes
0x01C6,ELEVATOR_DOOR_LEFT_2,
0x01C7,ELEVATOR_DOOR_RIGHT_2,
0x01C8,WHITE_GRID,It's a white grid no idea
0x01D5,IR_SENSOR,
0x01DA,NARROW_COLUMN_BASE,
0x01DB,TELEPORTER_LIGHTS,
0x01E4,SMALL_BOX_PROP,
0x01EE,PRISON_BARS_DOOR,
0x021D,MINE_LAYER_TRAP,
0x021E,GRATE_FLOOR_GRAY,
0x0251,PLACEHOLDER_KEY_CUBE,Placeholder UI Element
0x0289,,
0x028E,,
0x02DC,FLOOR_PEDESTAL_SLICE,
0x02DE,ELEVATOR_BASE,It's the concave shape under elevators
0x02E0,DOOR_CORNER_LOWER_RIGHT,
0x02E1,,
0x02E2,HEALTH_STATION_TOP,
0x02E3,HEALTH_STATION_BACK,
0x02E5,PRISONER_1,
0x02E7,PRISONER_2,
0x02E8,PRISONER_3,
0x02EF,TURRET_BASE,
0x02F6,NPC_TECH,
0x02FD,npcdeath_shape_02fd,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x030D,,
0x030E,,
0x0315,BAR_STOOL,
0x0318,PLACEHOLDER_CUBE,Placeholder UI element
0x0329,FORCEFIELD_NW,
0x032A,FORCEFIELD_NE,
0x0337,PLACEHOLDER_CUBE_BIG,
0x0338,MECH_1,
0x033A,NUMBERS,
0x034D,BAR_PATRONS_1,
0x0361,PLACEHOLDER_CUBE_RED_BLACK,
0x0368,,
0x0369,,
0x036A,,
0x036B,,
0x037A,,
0x037D,,
0x03A9,,
0x03AA,,
0x03AC,npcdeath_shape_03ac,Auto-derived from NPCDEATH self-shape comparison in USECODE
0x03B0,,
0x03BF,,
0x03C1,,
0x0401,,
0x043D,,
0x0442,,
0x0443,,
0x044F,,
0x0452,,
0x0457,,
0x0476,,
0x0493,,
0x04B1,,
0x04B8,,
0x04C6,,
0x04C8,wallgun_shape_04c8,Auto-derived from WALLGUN self-shape comparison in USECODE
0x04C9,,
0x04D0,,
0x04D5,,
0x04D9,,
0x04DC,,
0x04E0,,
0x04E7,,
0x04EE,,
0x04F8,,
0x0500,,
0x0524,,
0x053A,,
0x054F,,
0x0561,,
0x005F,,
0x0070,yelrail_shape_0070,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0085,,
0x0088,yelrail_shape_0088,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008A,yelrail_shape_008a,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008B,yelrail_shape_008b,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008C,yelrail_shape_008c,Auto-derived from YELRAIL self-shape comparison in USECODE
0x008D,yelrail_shape_008d,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0091,yelrail_shape_0091,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0092,yelrail_shape_0092,Auto-derived from YELRAIL self-shape comparison in USECODE
0x0093,yelrail_shape_0093,Auto-derived from YELRAIL self-shape comparison in USECODE
